time	EngineWithSpeed.RPM	EngineWithSpeed.engineTorque		EngineWithSpeed.n.torque	EngineWithSpeed.n.acceleration	aRC.shiftTime	aRC.clutchConnector.pressure	RC.relativeVelocity	RC.cBreakfreeDisp	RC.displacement	RC.ccBreakfreeDisp					RC.actuatorConnector.pressure	RC.n.torque	RC.n.acceleration	RC.p.torque	RC.p.acceleration	aLRB.shiftTime	aLRB.clutchConnector.pressure	GLRB.p.torque	GLRB.p.acceleration	LRB.relativeVelocity	LRB.cBreakfreeDisp	LRB.displacement	LRB.ccBreakfreeDisp					LRB.actuatorConnector.pressure	LRB.n.torque	LRB.n.acceleration	LRB.p.torque	LRB.p.acceleration	aTCC.shiftTime	aTCC.clutchConnector.pressure	TCC.relativeVelocity	TCC.cBreakfreeDisp	TCC.displacement	TCC.ccBreakfreeDisp					TCC.actuatorConnector.pressure	TCC.n.torque	TCC.n.acceleration	TCC.p.torque	TCC.p.acceleration	Converter.turbineTorque	Converter.turbineSpeed	Converter.impellerTorque	Converter.impellerSpeed			Converter.turbine.torque	Converter.turbine.acceleration	Converter.impeller.torque	Converter.impeller.acceleration	GOB.p.torque	GOB.p.acceleration	aOB.shiftTime	aOB.clutchConnector.pressure	OB.relativeVelocity	OB.cBreakfreeDisp	OB.displacement	OB.ccBreakfreeDisp					OB.actuatorConnector.pressure	OB.n.torque	OB.n.acceleration	OB.p.torque	OB.p.acceleration	aDC.shiftTime	aDC.clutchConnector.pressure	DC.relativeVelocity	DC.cBreakfreeDisp	DC.displacement	DC.ccBreakfreeDisp					DC.actuatorConnector.pressure	DC.n.torque	DC.n.acceleration	DC.p.torque	DC.p.acceleration	aIOC.shiftTime	aIOC.clutchConnector.pressure	IOC.relativeVelocity	IOC.cBreakfreeDisp	IOC.displacement	IOC.ccBreakfreeDisp					IOC.actuatorConnector.pressure	IOC.n.torque	IOC.n.acceleration	IOC.p.torque	IOC.p.acceleration	GPOC.p.torque	GPOC.p.acceleration	aPOC.shiftTime	aPOC.clutchConnector.pressure	POC.relativeVelocity	POC.cBreakfreeDisp	POC.displacement	POC.ccBreakfreeDisp					POC.actuatorConnector.pressure	POC.n.torque	POC.n.acceleration	POC.p.torque	POC.p.acceleration	aFC.shiftTime	aFC.clutchConnector.pressure	FC.relativeVelocity	FC.cBreakfreeDisp	FC.displacement	FC.ccBreakfreeDisp					FC.actuatorConnector.pressure	FC.n.torque	FC.n.acceleration	FC.p.torque	FC.p.acceleration	GIOC.p.torque	GIOC.p.acceleration	myCar.wheelSpeed	myCar.speed	myCar.p.torque	myCar.p.acceleration	GearBox.pinionToPinionForce	GearBox.ringToPinionForce	GearBox.pinionToReverseForce	GearBox.forwardToPinionForce	GearBox.&forwardSun.acceleration	GearBox.&forwardSun.torque	GearBox.&forwardSun.speed	GearBox.&shortPinion.acceleration	GearBox.&shortPinion.torque	GearBox.&shortPinion.speed	GearBox.&longPinion.acceleration	GearBox.&longPinion.torque	GearBox.&longPinion.speed	GearBox.&reverseSun.acceleration	GearBox.&reverseSun.torque	GearBox.&reverseSun.speed	GearBox.&ring.acceleration	GearBox.&ring.torque	GearBox.&ring.speed	GearBox.&carrier.torque	GearBox.&carrier.speed	GearBox.&carrier.acceleration	GearBox.ifSun.torque	GearBox.ifSun.acceleration	GearBox.irSun.torque	GearBox.irSun.acceleration	GearBox.iCoupler.torque	GearBox.iCoupler.acceleration	GearBox.oRing.torque	GearBox.oRing.acceleration	shaft_spring.ddTorque	shaft_spring.dTorque	shaft_spring.p.torque	shaft_spring.p.acceleration	shaft_spring.n.torque	shaft_spring.n.acceleration	shaft_damper.velocity	shaft_damper.n.torque	shaft_damper.n.acceleration	shaft_damper.p.torque	shaft_damper.p.acceleration	
0	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0	-0.9	0	0	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	-0.0001	-1e-005	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	-0.0001	-1e-005	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0	0	-1.11861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178.978	0	0	0	0	-1.11861	0	0	0	0	-1.11861	
0	0	0	-1000	0	0	0	0	0	0.0001	0	0.0001	0	0	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0	-0.9	0	0	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	-0.0001	-1e-005	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	-0.0001	-1e-005	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0	0	-1.11861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178.978	0	0	0	0	-1.11861	0	0	0	0	-1.11861	
0.1	0	0	-1000	0	0	0	0	0	0.0001	0	0.0001	0	0	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0	-0.9	0	0	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	-0.0001	-1e-005	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	-0.0001	-1e-005	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0	0	-1.11861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178.978	0	0	0	0	-1.11861	0	0	0	0	-1.11861	
0.2	126.881	55.679	-873.119	-18.9692	131.107	0.2	0	0.494405	0.0001	0.0001	0.0001	-0.494405	-1.42518e-065	2.83966e-081	2.40578e-067	0	-1e-013	-0.791158	1e-013	8.5457	0.2	0	-1e-014	0	0.184768	0.0001	9.99906e-005	0.0001	-0.184768	1.82205e-112	4.02463e-122	1.43346e-112	0	-1e-014	-0.961719	1e-014	0	0.2	0	12.9446	0.0001	0.0001	0.0001	-12.9446	-1.24721e-221	7.82133e-234	-2.97297e-221	0	-1e-013	8.5457	1e-013	131.107	1.01694	0.342405	0.614264	13.287	-0.873989	0	-2e-013	8.5457	18.9692	131.107	-1e-014	0	0.2	0	0.152	0.0001	0.0001	0.0001	-0.152	3.31671e-065	-2.42049e-080	-7.28767e-068	0	-1e-014	-0.791158	1e-014	0	0.2	0	0.527174	0.0001	0.0001	0.0001	-0.527174	-3.71056e-112	4.02463e-122	-1.60002e-113	0	-1e-013	-0.961719	1e-013	8.5457	0.2	0	0.152	0.0001	0.0001	0	-0.152	-1.78305e-094	-2.42049e-080	7.87111e-069	0	-8e-014	-0.791158	8e-014	0	-8e-014	0	0.2	0	0.184768	0.0001	9.99413e-005	0	-0.184768	-3.2388e-152	-1.15934e-124	2.97868e-117	0	-8e-014	-0.961719	8e-014	0	0.2	0	0.566496	0.0001	0.0001	0.0001	-0.566496	-1.18384e-166	3.53985e-177	-3.53093e-167	0	-1e-013	-1.16639	1e-013	8.5457	-8e-014	0	-0.614556	-0.0438792	0.913486	-1.0361	-0.695808	0.739099	0.263719	0.388798	-1.16639	1e-013	-0.224091	0.30701	0	0.0589838	-0.30701	0	-0.0589838	-0.791158	1.9e-013	-0.152	-1.047	-0.913486	-0.201153	1.9e-013	-0.184768	-0.961719	1e-013	-1.16639	1.9e-013	-0.791158	1.9e-013	-0.961719	-0.913486	-1.047	-1.74365	1.07482	0.241725	-1.047	-0.241725	-1.0361	-0.00671761	0.671761	-1.047	-0.671761	-1.0361	
0.3	280.782	82.6944	-719.218	-29.6309	189.512	0.3	0	2.71177	0.0001	0.0001	0.0001	-2.71177	3.62385e-078	2.82147e-093	-5.7795e-081	0	-1e-013	-0.790011	1e-013	42.0409	0.3	0	-1e-014	0	0.280869	0.0001	9.99906e-005	0.0001	-0.280869	-1.99902e-123	-1.84519e-133	-6.98252e-124	0	-1e-014	-0.960325	1e-014	0	0.3	0	26.9227	0.0001	0.0001	0.0001	-26.9227	-4.51439e-234	-3.30039e-246	2.99039e-233	0	-1e-013	42.0409	1e-013	189.512	5.00286	2.48071	3.09917	29.4034	-0.812509	0	-2e-013	42.0409	29.6309	189.512	-1e-014	0	0.3	0	0.231056	0.0001	0.0001	0.0001	-0.231056	-4.30745e-077	1.77335e-093	-3.38194e-079	0	-1e-014	-0.790011	1e-014	0	0.3	0	2.76158	0.0001	0.0001	0.0001	-2.76158	-6.36014e-124	-1.84519e-133	-4.47126e-126	0	-1e-013	-0.960325	1e-013	42.0409	0.3	0	0.231056	0.0001	0.0001	0	-0.231056	8.22476e-107	1.77335e-093	-3.06816e-080	0	-8e-014	-0.790011	8e-014	0	-8e-014	0	0.3	0	0.280869	0.0001	9.99413e-005	0	-0.280869	-4.0489e-165	1.08363e-137	-4.4946e-129	0	-8e-014	-0.960325	8e-014	0	0.3	0	2.82136	0.0001	0.0001	0.0001	-2.82136	-1.34467e-178	-6.68961e-189	-6.81749e-179	0	-1e-013	-1.1647	1e-013	42.0409	-8e-014	0	-0.920891	-0.0657515	0.912161	-1.03622	-0.694799	0.738028	0.263337	0.388234	-1.1647	1e-013	-0.340643	0.306565	0	0.0896619	-0.306565	0	-0.0896619	-0.790011	1.9e-013	-0.231056	-1.04548	-0.912161	-0.305775	1.9e-013	-0.280869	-0.960325	1e-013	-1.1647	1.9e-013	-0.790011	1.9e-013	-0.960325	-0.912161	-1.04548	-1.48139	0.913923	0.340959	-1.04548	-0.340959	-1.03622	-0.00571202	0.571202	-1.04548	-0.571202	-1.03622	
0.4	487.258	109.175	-512.742	-40.4194	245.555	0.4	0	-31.0571	0.0001	0.0001	0.0001	31.0571	1.99785e-143	2.48551e-155	4.05588e-145	0	-1e-013	-109.144	1e-013	-1263.75	0.4	0	-1e-014	0	-0.648784	0.0001	9.99906e-005	0.0001	0.648784	1.04365e-188	-8.25016e-196	4.22461e-188	0	-1e-014	11.48	1e-014	0	0.4	0	84.9944	0.0001	0.0001	0.0001	-84.9944	9.14481e-299	-2.85588e-308	-7.269e-298	0	-1e-013	-1263.75	1e-013	245.555	14.4645	-33.9688	6.0417	51.0257	-1.76769	0	-164.851	-1263.75	40.4194	245.555	-1e-014	0	0.4	0	2.91164	0.0001	0.0001	0.0001	-2.91164	4.05189e-142	7.24212e-156	2.24108e-143	0	-1e-014	-109.144	1e-014	0	0.4	0	-34.6175	0.0001	0.0001	0.0001	34.6175	1.36721e-188	-8.25016e-196	2.16673e-190	0	-1e-013	11.48	1e-013	-1263.75	0.4	0	2.91164	0.0001	0.0001	0	-2.91164	-2.92951e-208	7.24212e-156	1.46794e-144	0	-8e-014	-109.144	8e-014	0	-119.793	0	0.2	569.325	-0.648784	0.00579325	9.99413e-005	0	0.648784	-1.93725e-266	9.30964e-200	2.2738e-193	569.325	-119.793	11.48	119.793	0	0.2	569.325	-38.89	0.00579325	0.0001	0.00579325	38.89	2.40668e-243	-5.85211e-251	4.25554e-243	569.325	-164.851	156.229	164.851	-1263.75	-8e-014	0	0.68971	0.0492452	231.048	19.7515	-1562.48	1308.97	36.3813	1779.6	156.229	164.851	4.92129	-217.123	0	-6.40876	217.123	0	6.40876	-109.144	1.9e-013	-2.91164	71.7919	-231.048	2.42899	119.793	0.648784	11.48	164.851	156.229	1.9e-013	-109.144	119.793	11.48	-231.048	71.7919	8326.46	351.312	11.4778	71.7919	-11.4778	19.7515	-2.1957	219.57	71.7919	-219.57	19.7515	
0.5	732.066	135.129	-267.934	-58.6426	273.164	0.499991	0	2.25347	0.0001	0.0001	0.0001	-2.25347	8.58643e-122	1.1828e-133	-5.92958e-123	0	-1e-013	-16.5826	1e-013	19.8832	0.499991	0	1.36413e-008	0	-0.00136412	0.0001	-0.00014085	0.0001	0.00136412	-0.00136412	-0.00024085	4.08505e-005	0	1.36413e-008	-0.00864419	-1.36413e-008	0	0.499991	0	75.4317	0.0001	0.0001	0.0001	-75.4317	0	3.45846e-323	0	0	-1e-013	19.8832	1e-013	273.164	33.9437	1.23007	20.3996	76.6618	-0.88484	0	-31.5776	19.8832	58.6426	273.164	-1e-014	0	0.499991	0	1.0234	0.0001	0.0001	0.0001	-1.0234	-5.85278e-044	1.3297e-058	1.2292e-045	0	-1e-014	-16.5826	1e-014	0	0.499991	0	1.22872	0.0001	0.0001	0.0001	-1.22872	7.36385e-083	3.02146e-095	-3.09138e-084	0	-1e-013	-0.00864419	1e-013	19.8832	0.499991	0	1.02339	0.0001	0.0471057	0	-1.02339	1.02339	0.0470057	-2.0234e-005	0	-1.0234e-005	-16.5826	1.0234e-005	0	-28.6939	0	0.299991	863.288	-0.00136412	0.00873288	0.00245919	0	0.00136412	-0.00136412	-0.00627369	-28.6939	863.288	-28.6939	-0.00864419	28.6939	0	0.299991	863.288	-0.000998059	0.00873288	0.00162487	0.00873288	0.000998059	-0.000998059	-0.00710802	-0.0103577	863.288	-31.5776	19.8801	31.5776	19.8832	-1.0234e-005	0	0.196508	0.0140306	54.3125	3.78734	-314.402	279.041	5.52762	344.235	19.8801	31.5776	1.23106	-29.8331	0	-1.84456	29.8331	0	1.84456	-16.5826	1.0234e-005	-1.0234	8.27832	-54.3125	0.513733	28.6939	0.00135412	-0.00864419	31.5776	19.8801	1.0234e-005	-16.5826	28.6939	-0.00864419	-54.3125	8.27832	718.557	71.5624	9.58607	8.27832	-9.58607	3.78734	-0.447265	44.7265	8.27832	-44.7265	3.78734	
0.6	1002.49	160.571	2.49362	-79.3054	290.234	0.599991	0	6.88293	0.0001	0.0001	0.0001	-6.88293	-2.881e-262	-3.98971e-271	-1.159e-263	0	-1e-013	-26.9605	1e-013	32.3479	0.599991	0	4.36732e-015	0	-0.000959704	0.0001	-9e-005	0.0001	-0.000959704	2.60094e-006	3.24052e-019	1.24819e-018	-1.39932e-031	4.36732e-015	-0.00385763	-4.36732e-015	0	0.599991	0	101.226	0.0001	0.0001	0.0001	-101.226	0	0	0	0	-1e-013	32.3479	1e-013	290.234	63.6464	3.75498	38.6727	104.981	-0.864241	0	-59.797	32.3479	79.3054	290.234	-1e-014	0	0.599991	0	3.12796	0.0001	0.0001	0.0001	-3.12796	-1.79075e-186	6.36553e-196	-3.07433e-186	0	-1e-014	-26.9605	1e-014	0	0.599991	0	3.75403	0.0001	0.0001	0.0001	-3.75403	-4.97385e-225	5.45239e-236	-2.47509e-225	0	-1e-013	-0.00385763	1e-013	32.3479	0.599991	0	3.12795	0.0001	0.0001	0	-3.12795	1.96366e-186	-2.23509e-155	-8.8137e-146	0	-8e-014	-26.9605	8e-014	0	-58.4838	0	0.399991	980.627	-0.000959704	0.00990627	0.00234441	0	0.000959704	-0.000959704	-0.00756185	-58.4838	980.627	-58.4838	-0.00385763	58.4838	0	0.399991	980.627	-0.000668718	0.00990627	0.00154098	0.00990627	0.000668718	-0.000668718	-0.00836529	-0.0114472	980.627	-59.797	32.3441	59.797	32.3479	-8e-014	0	2.01418	0.143812	108.58	8.68919	-605.108	547.599	8.98683	653.63	32.3441	59.797	3.75564	-48.5219	0	-5.63204	48.5219	0	5.63204	-26.9605	1.9e-013	-3.12796	13.4745	-108.58	1.5654	58.4838	0.000949704	-0.00385763	59.797	32.3441	1.9e-013	-26.9605	58.4838	-0.00385763	-108.58	13.4745	765.643	141.459	20.168	13.4745	-20.168	8.68919	-0.884119	88.4119	13.4745	-88.4119	8.68919	
0.7	1252.53	159.889	1.4606e-069	-93.9797	235.392	0.699991	0	13.9476	0.0001	0.0001	0.0001	-13.9476	1.94342e-316	1.2325e-315	1.42839e-315	0	-1e-013	17.3694	1e-013	62.9232	0.699991	0	8.25524e-010	0	-0.000339417	0.0001	-9e-005	0.0001	-0.000339417	-0.00525544	6.2633e-014	-3.31062e-014	2.05082e-026	8.25524e-010	36.9824	-8.25524e-010	0	0.699991	0	123.556	0.0001	0.0001	0.0001	-123.556	0	0	0	0	-1e-013	62.9232	1e-013	235.392	99.1931	7.60796	61.0248	131.164	-0.842728	0	-91.7053	62.9232	93.9797	235.392	-1e-014	0	0.699991	0	6.33962	0.0001	0.0001	0.0001	-6.33962	-2.66497e-260	3.02635e-267	2.93396e-258	0	-1e-014	17.3694	1e-014	0	0.699991	0	7.60763	0.0001	0.0001	0.0001	-7.60763	4.32121e-297	-6.85979e-307	2.04353e-298	0	-1e-013	36.9824	1e-013	62.9232	0.699991	0	6.33961	0.0001	0.0001	0	-6.33961	1.99521e-269	1.69442e-227	4.85676e-219	0	-8e-014	17.3694	8e-014	0	-116.169	0	0.499991	1005.49	-0.000339417	0.0101549	0.00227123	0	0.000339417	-0.000339417	-0.00788364	-116.169	1005.49	-116.169	36.9824	116.169	0	0.499991	1005.49	-0.000320241	0.0101549	0.00149396	0.0101549	0.000320241	-0.000320241	-0.00866091	-0.0116488	1005.49	-91.7053	60.5181	91.7053	62.9232	-8e-014	0	5.55102	0.396342	168.047	14.0607	-963.471	933.958	-5.78977	998.775	60.5181	91.7053	7.60827	-35.3035	0	-11.4119	35.3035	0	11.4119	17.3694	1.9e-013	-6.33962	46.7889	-168.047	3.17031	116.169	0.000329417	36.9824	91.7053	60.5181	1.9e-013	17.3694	116.169	36.9824	-168.047	46.7889	5236.53	206.833	38.7765	46.7889	-38.7765	14.0607	-1.2927	129.27	46.7889	-129.27	14.0607	
0.8	1450.94	158.872	2.75388e-086	-108.171	181.075	0.799991	0	23.721	0.0001	0.0001	0.0001	-23.721	1.7984e-321	2.05531e-321	9.28843e-322	0	-1e-013	-48.1077	1e-013	57.7241	0.799991	0	-9.25087e-014	0	-0.00016928	0.0001	-9e-005	0.0001	-0.00016928	-6.27895e-008	5.9245e-020	3.08027e-019	-2.54671e-030	-9.25087e-014	-0.00367204	9.25087e-014	0	0.799991	0	139.003	0.0001	0.0001	0.0001	-139.003	0	0	0	0	-1e-013	57.7241	1e-013	181.075	132.767	12.9389	82.8208	151.942	-0.814904	0	-125.898	57.7241	108.171	181.075	-1e-014	0	0.799991	0	10.7821	0.0001	0.0001	0.0001	-10.7821	-8.60014e-277	5.77148e-284	5.15446e-275	0	-1e-014	-48.1077	1e-014	0	0.799991	0	12.9387	0.0001	0.0001	0.0001	-12.9387	9.61864e-314	1.12153e-321	3.7563e-315	0	-1e-013	-0.00367204	1e-013	57.7241	0.799991	0	10.7821	0.0001	0.0001	0	-10.7821	4.86089e-286	3.22715e-244	8.85984e-236	0	-8e-014	-48.1077	8e-014	0	-131.231	0	0.599991	1001.7	-0.00016928	0.010117	0.0022345	0	0.00016928	-0.00016928	-0.00788254	-131.231	1001.7	-131.231	-0.00367204	131.231	0	0.599991	1001.7	3.14291e-005	0.010117	0.00148093	0.010117	-3.14291e-005	3.14291e-005	-0.00863611	-0.011598	1001.7	-125.898	57.7211	125.898	57.7241	-8e-014	0	10.7324	0.766293	239.815	20.5431	-1293.04	1190.42	16.0359	1379.63	57.7211	125.898	12.9389	-86.5872	0	-19.4081	86.5872	0	19.4081	-48.1077	1.9e-013	-10.7821	24.0483	-239.815	5.39129	131.231	0.00015928	-0.00367204	125.898	57.7211	1.9e-013	-48.1077	131.231	-0.00367204	-239.815	24.0483	560.833	281.776	63.705	24.0483	-63.705	20.5431	-1.7611	176.11	24.0483	-176.11	20.5431	
