Time	Fin	pitch rate	Ki	Kacc	 Kg	K	Az Demand	Az
0	-0.00206511	0	37.2216	0.924183	0.405377	0.0139515	-1	0
0.001	-0.00379713	2.33603e-007	39.249	0.922104	0.375356	0.0130538	-1	-0.000892309
0.002	-0.00567973	2.37724e-006	39.2504	0.922103	0.375336	0.0130532	-1	-0.00162086
0.003	-0.00755781	1.40347e-005	39.2519	0.922101	0.375315	0.0130525	-1	-0.00193596
0.004	-0.00942737	4.80159e-005	39.2533	0.922099	0.375294	0.0130519	-1	-0.00159008
0.005	-0.0112829	0.000121157	39.2548	0.922097	0.375273	0.0130512	-1	-0.00046569
0.006	-0.0131178	0.000253018	39.2562	0.922096	0.375252	0.0130506	-1	0.00158556
0.007	-0.0149246	0.000464637	39.2576	0.922094	0.375231	0.0130499	-1	0.00462995
0.008	-0.0166958	0.000777765	39.2591	0.922092	0.375211	0.0130493	-1	0.00874463
0.009	-0.0184231	0.00121405	39.2605	0.92209	0.37519	0.0130486	-1	0.0139421
0.01	-0.0200985	0.00179427	39.262	0.922088	0.375169	0.0130479	-1	0.0202187
0.011	-0.0217143	0.00253767	39.2635	0.922086	0.375147	0.0130473	-1	0.0275313
0.012	-0.0232629	0.00346153	39.2649	0.922085	0.375126	0.0130466	-1	0.0358126
0.013	-0.0247375	0.00458068	39.2664	0.922083	0.375105	0.0130459	-1	0.0449698
0.014	-0.0261319	0.005907	39.2679	0.922081	0.375084	0.0130452	-1	0.054914
0.015	-0.0274411	0.00744893	39.2694	0.922078	0.375062	0.0130445	-1	0.0655677
0.016	-0.0286608	0.00921177	39.271	0.922076	0.37504	0.0130438	-1	0.0768155
0.017	-0.0297873	0.0111986	39.2725	0.922074	0.375018	0.0130431	-1	0.0885137
0.018	-0.0308175	0.013411	39.2741	0.922072	0.374996	0.0130423	-1	0.100551
0.019	-0.0317485	0.0158485	39.2757	0.922069	0.374973	0.0130416	-1	0.112853
0.02	-0.0325783	0.0185087	39.2774	0.922067	0.37495	0.0130408	-1	0.12532
0.021	-0.0333055	0.0213868	39.279	0.922064	0.374927	0.01304	-1	0.137829
0.022	-0.0339295	0.024476	39.2807	0.922061	0.374904	0.0130392	-1	0.150243
0.023	-0.0344505	0.0277669	39.2825	0.922058	0.37488	0.0130384	-1	0.162447
0.024	-0.0348695	0.0312476	39.2842	0.922055	0.374856	0.0130375	-1	0.174329
0.025	-0.0351886	0.0349039	39.2861	0.922052	0.374831	0.0130367	-1	0.185793
0.026	-0.0354104	0.0387202	39.2879	0.922048	0.374806	0.0130358	-1	0.196729
0.027	-0.0355378	0.0426799	39.2898	0.922045	0.37478	0.0130348	-1	0.207022
0.028	-0.0355742	0.0467659	39.2917	0.922041	0.374755	0.0130339	-1	0.216572
0.029	-0.0355232	0.0509606	39.2937	0.922037	0.374728	0.0130329	-1	0.225306
0.03	-0.0353892	0.0552445	39.2958	0.922033	0.374701	0.0130319	-1	0.233229
0.031	-0.0351807	0.0595912	39.2978	0.922029	0.374674	0.0130309	-1	0.240804
0.032	-0.0349039	0.063977	39.2999	0.922024	0.374646	0.0130298	-1	0.247177
0.033	-0.0345621	0.0683864	39.3021	0.92202	0.374618	0.0130287	-1	0.252301
0.034	-0.034155	0.0728112	39.3043	0.922015	0.37459	0.0130276	-1	0.255609
0.035	-0.0336807	0.0772486	39.3066	0.92201	0.37456	0.0130265	-1	0.257276
0.036	-0.0331424	0.0816867	39.3089	0.922004	0.374531	0.0130253	-1	0.258283
0.037	-0.0325863	0.0859728	39.3112	0.921999	0.374501	0.0130241	-1	0.251664
0.038	-0.0320153	0.0901207	39.3136	0.921994	0.37447	0.0130229	-1	0.248435
0.039	-0.03142	0.0941569	39.3161	0.921988	0.37444	0.0130217	-1	0.244677
0.04	-0.0307999	0.0980847	39.3185	0.921982	0.374408	0.0130204	-1	0.240401
0.041	-0.0301523	0.101912	39.321	0.921976	0.374377	0.0130191	-1	0.235227
0.042	-0.0294723	0.105649	39.3236	0.92197	0.374345	0.0130178	-1	0.229105
0.043	-0.0287582	0.109304	39.3261	0.921964	0.374312	0.0130165	-1	0.222696
0.044	-0.0280121	0.112874	39.3287	0.921957	0.37428	0.0130151	-1	0.216228
0.045	-0.0272367	0.116355	39.3314	0.921951	0.374247	0.0130138	-1	0.209693
0.046	-0.0264346	0.119743	39.334	0.921944	0.374213	0.0130124	-1	0.203015
0.047	-0.0256077	0.123035	39.3368	0.921937	0.37418	0.013011	-1	0.196082
0.048	-0.0247563	0.126233	39.3395	0.92193	0.374146	0.0130096	-1	0.188734
0.049	-0.0238796	0.129339	39.3423	0.921923	0.374111	0.0130081	-1	0.180839
0.05	-0.0229756	0.13236	39.3451	0.921916	0.374077	0.0130066	-1	0.172343
0.051	-0.0220421	0.135302	39.3479	0.921909	0.374042	0.0130052	-1	0.163258
0.052	-0.0210766	0.138171	39.3508	0.921902	0.374006	0.0130037	-1	0.153537
0.053	-0.0200762	0.140975	39.3537	0.921894	0.373971	0.0130022	-1	0.143223
0.054	-0.0190396	0.143719	39.3566	0.921886	0.373935	0.0130006	-1	0.132593
0.055	-0.0179677	0.146402	39.3595	0.921879	0.373899	0.0129991	-1	0.121891
0.056	-0.0168629	0.14902	39.3625	0.921871	0.373863	0.0129975	-1	0.111197
0.057	-0.0157279	0.151569	39.3655	0.921863	0.373827	0.012996	-1	0.100485
0.058	-0.014565	0.154045	39.3685	0.921855	0.37379	0.0129944	-1	0.0896837
0.059	-0.0133753	0.156446	39.3715	0.921847	0.373753	0.0129928	-1	0.0786344
0.06	-0.0121585	0.158776	39.3746	0.921839	0.373716	0.0129912	-1	0.0671331
0.061	-0.0109125	0.161038	39.3776	0.921831	0.373678	0.0129896	-1	0.0550824
0.062	-0.00963511	0.163239	39.3808	0.921822	0.37364	0.0129879	-1	0.0425236
0.063	-0.00832421	0.165386	39.3839	0.921814	0.373602	0.0129863	-1	0.0294761
0.064	-0.0069773	0.167483	39.387	0.921805	0.373564	0.0129846	-1	0.0159026
0.065	-0.00559453	0.169533	39.3902	0.921797	0.373526	0.0129829	-1	0.00233552
0.066	-0.00417679	0.171534	39.3934	0.921788	0.373488	0.0129813	-1	-0.0114513
0.067	-0.00272434	0.173486	39.3966	0.921779	0.373449	0.0129796	-1	-0.0254218
0.068	-0.00123769	0.175389	39.3998	0.92177	0.37341	0.0129779	-1	-0.0395534
0.069	0.000282535	0.177243	39.4031	0.921762	0.373371	0.0129761	-1	-0.0538433
0.07	0.00183573	0.179048	39.4063	0.921753	0.373332	0.0129744	-1	-0.0682973
0.071	0.00342141	0.180803	39.4096	0.921744	0.373292	0.0129727	-1	-0.0829347
0.072	0.00503925	0.182508	39.4129	0.921734	0.373253	0.0129709	-1	-0.097774
0.073	0.0066888	0.184164	39.4162	0.921725	0.373213	0.0129692	-1	-0.112778
0.074	0.00837188	0.185774	39.4195	0.921716	0.373173	0.0129674	-1	-0.128341
0.075	0.010091	0.187346	39.4229	0.921707	0.373133	0.0129656	-1	-0.144318
0.076	0.0118487	0.188884	39.4263	0.921697	0.373093	0.0129638	-1	-0.160803
0.077	0.013646	0.190392	39.4296	0.921688	0.373052	0.012962	-1	-0.177379
0.078	0.0154822	0.19187	39.433	0.921679	0.373012	0.0129602	-1	-0.194025
0.079	0.0173565	0.193315	39.4364	0.921669	0.372971	0.0129584	-1	-0.210749
0.08	0.0192683	0.194728	39.4398	0.92166	0.372931	0.0129566	-1	-0.227572
0.081	0.0212171	0.196108	39.4432	0.92165	0.37289	0.0129548	-1	-0.244519
0.082	0.0232027	0.197455	39.4467	0.92164	0.372849	0.012953	-1	-0.261616
0.083	0.0252251	0.198769	39.4501	0.921631	0.372808	0.0129512	-1	-0.278887
0.084	0.0272846	0.200051	39.4536	0.921621	0.372767	0.0129493	-1	-0.296348
0.085	0.0293815	0.201304	39.4571	0.921611	0.372725	0.0129475	-1	-0.314003
0.086	0.0315162	0.202527	39.4605	0.921601	0.372684	0.0129456	-1	-0.33185
0.087	0.0336891	0.203723	39.464	0.921592	0.372642	0.0129438	-1	-0.34988
0.088	0.0359006	0.204893	39.4675	0.921582	0.372601	0.0129419	-1	-0.368073
0.089	0.0381507	0.206037	39.471	0.921572	0.372559	0.01294	-1	-0.386402
0.09	0.0404394	0.207156	39.4746	0.921562	0.372517	0.0129382	-1	-0.404843
0.091	0.0427664	0.20825	39.4781	0.921552	0.372476	0.0129363	-1	-0.423383
0.092	0.0451315	0.209318	39.4816	0.921542	0.372434	0.0129344	-1	-0.442019
0.093	0.0475343	0.21036	39.4852	0.921532	0.372392	0.0129325	-1	-0.460757
0.094	0.0499746	0.211377	39.4887	0.921522	0.372349	0.0129306	-1	-0.479614
0.095	0.0524525	0.212368	39.4923	0.921512	0.372307	0.0129287	-1	-0.498606
0.096	0.0549682	0.213335	39.4959	0.921501	0.372265	0.0129268	-1	-0.517751
0.097	0.0575219	0.214278	39.4995	0.921491	0.372223	0.0129249	-1	-0.537057
0.098	0.0601141	0.215199	39.503	0.921481	0.37218	0.012923	-1	-0.556523
0.099	0.0627451	0.2161	39.5066	0.921471	0.372138	0.0129211	-1	-0.576141
0.1	0.0654153	0.21698	39.5102	0.92146	0.372095	0.0129192	-1	-0.595902
0.101	0.068125	0.217841	39.5139	0.92145	0.372052	0.0129173	-1	-0.615791
0.102	0.0708742	0.218684	39.5175	0.92144	0.37201	0.0129153	-1	-0.635785
0.103	0.0736628	0.219509	39.5211	0.921429	0.371967	0.0129134	-1	-0.655865
0.104	0.0764908	0.220315	39.5247	0.921419	0.371924	0.0129115	-1	-0.676019
0.105	0.0793579	0.221103	39.5284	0.921409	0.371881	0.0129095	-1	-0.696244
0.106	0.0822637	0.221873	39.532	0.921398	0.371838	0.0129076	-1	-0.716545
0.107	0.0852082	0.222623	39.5356	0.921388	0.371795	0.0129057	-1	-0.736931
0.108	0.0881914	0.223355	39.5393	0.921377	0.371752	0.0129037	-1	-0.75742
0.109	0.0912132	0.224069	39.543	0.921367	0.371709	0.0129018	-1	-0.778026
0.11	0.0942741	0.224766	39.5466	0.921356	0.371666	0.0128998	-1	-0.798753
0.111	0.0973742	0.225446	39.5503	0.921346	0.371623	0.0128979	-1	-0.819603
0.112	0.100514	0.226111	39.554	0.921335	0.37158	0.0128959	-1	-0.840569
0.113	0.103693	0.226762	39.5576	0.921325	0.371536	0.012894	-1	-0.861642
0.114	0.106913	0.227398	39.5613	0.921314	0.371493	0.012892	-1	-0.882812
0.115	0.110173	0.228021	39.565	0.921304	0.371451	0.0128901	-1	-0.904064
0.116	0.113474	0.228631	39.5688	0.921293	0.371412	0.0128882	-1	-0.925382
0.117	0.116815	0.229227	39.5726	0.921282	0.371373	0.0128864	-1	-0.946756
0.118	0.120195	0.229809	39.5764	0.921272	0.371334	0.0128845	-1	-0.968184
0.119	0.123615	0.230378	39.5802	0.921261	0.371295	0.0128827	-1	-0.989665
0.12	0.127075	0.230932	39.5841	0.921251	0.371256	0.0128808	-1	-1.01121
0.121	0.130573	0.231472	39.5879	0.92124	0.371217	0.012879	-1	-1.03281
0.122	0.134111	0.231998	39.5917	0.921229	0.371178	0.0128771	-1	-1.05447
0.123	0.137687	0.232509	39.5955	0.921219	0.371139	0.0128753	-1	-1.07615
0.124	0.141302	0.233005	39.5993	0.921208	0.3711	0.0128734	-1	-1.09799
0.125	0.144957	0.23349	39.6032	0.921197	0.371061	0.0128715	-1	-1.11996
0.126	0.148653	0.233964	39.607	0.921187	0.371021	0.0128697	-1	-1.14214
0.127	0.152389	0.234429	39.6108	0.921176	0.370982	0.0128678	-1	-1.16431
0.128	0.156166	0.234884	39.6147	0.921165	0.370943	0.0128659	-1	-1.18655
0.129	0.159983	0.23533	39.6185	0.921154	0.370904	0.0128641	-1	-1.20883
0.13	0.163841	0.235766	39.6223	0.921144	0.370864	0.0128622	-1	-1.23116
0.131	0.167739	0.236192	39.6262	0.921133	0.370825	0.0128603	-1	-1.25353
0.132	0.171677	0.236609	39.63	0.921122	0.370786	0.0128585	-1	-1.27595
0.133	0.175656	0.237015	39.6339	0.921111	0.370746	0.0128566	-1	-1.29842
0.134	0.179674	0.237411	39.6377	0.921101	0.370707	0.0128547	-1	-1.32093
0.135	0.183733	0.237798	39.6416	0.92109	0.370668	0.0128529	-1	-1.3435
0.136	0.187831	0.238175	39.6454	0.921079	0.370628	0.012851	-1	-1.36613
0.137	0.191969	0.238542	39.6493	0.921068	0.370589	0.0128491	-1	-1.38882
0.138	0.196148	0.2389	39.6531	0.921057	0.37055	0.0128472	-1	-1.41156
0.139	0.200366	0.239249	39.657	0.921047	0.37051	0.0128454	-1	-1.43437
0.14	0.204624	0.239589	39.6608	0.921036	0.370471	0.0128435	-1	-1.45723
0.141	0.208923	0.239921	39.6647	0.921025	0.370431	0.0128416	-1	-1.48014
0.142	0.213262	0.240244	39.6685	0.921014	0.370392	0.0128398	-1	-1.50309
0.143	0.217641	0.24056	39.6724	0.921003	0.370353	0.0128379	-1	-1.52609
0.144	0.22206	0.240867	39.6762	0.920992	0.370313	0.012836	-1	-1.54913
0.145	0.226519	0.241166	39.6801	0.920982	0.370274	0.0128341	-1	-1.57221
0.146	0.231018	0.241457	39.684	0.920971	0.370234	0.0128323	-1	-1.59532
0.147	0.235557	0.241739	39.6878	0.92096	0.370195	0.0128304	-1	-1.61847
0.148	0.240136	0.242014	39.6917	0.920949	0.370156	0.0128285	-1	-1.64166
0.149	0.244754	0.24228	39.6955	0.920938	0.370116	0.0128266	-1	-1.66489
0.15	0.249412	0.242539	39.6994	0.920927	0.370077	0.0128247	-1	-1.68816
0.151	0.25411	0.24279	39.7033	0.920917	0.370037	0.0128229	-1	-1.71148
0.152	0.258848	0.243034	39.7071	0.920906	0.369998	0.012821	-1	-1.73484
0.153	0.263626	0.24327	39.711	0.920895	0.369959	0.0128191	-1	-1.75824
0.154	0.268444	0.243499	39.7148	0.920884	0.369919	0.0128172	-1	-1.78168
0.155	0.273301	0.243721	39.7187	0.920873	0.36988	0.0128154	-1	-1.80515
0.156	0.278198	0.243936	39.7225	0.920862	0.369841	0.0128135	-1	-1.82862
0.157	0.283134	0.244143	39.7264	0.920852	0.369801	0.0128116	-1	-1.85208
0.158	0.28811	0.244343	39.7303	0.920841	0.369762	0.0128097	-1	-1.87559
0.159	0.293125	0.244534	39.7341	0.92083	0.369723	0.0128079	-1	-1.89916
0.16	0.298179	0.244719	39.738	0.920819	0.369683	0.012806	-1	-1.92281
0.161	0.303273	0.244899	39.7418	0.920808	0.369644	0.0128041	-1	-1.9465
0.162	0.308407	0.245072	39.7457	0.920797	0.369605	0.0128023	-1	-1.9702
0.163	0.313581	0.245239	39.7495	0.920787	0.369565	0.0128004	-1	-1.99391
0.164	0.318794	0.2454	39.7534	0.920776	0.369526	0.0127985	-1	-2.01763
0.165	0.324047	0.245555	39.7572	0.920765	0.369487	0.0127967	-1	-2.04137
0.166	0.329338	0.245703	39.7611	0.920754	0.369448	0.0127948	-1	-2.06515
0.167	0.33467	0.245845	39.7649	0.920743	0.369409	0.0127929	-1	-2.08897
0.168	0.34004	0.245981	39.7688	0.920733	0.369369	0.0127911	-1	-2.11284
0.169	0.34545	0.246112	39.7726	0.920722	0.36933	0.0127892	-1	-2.13672
0.17	0.3509	0.246236	39.7765	0.920711	0.369291	0.0127873	-1	-2.16058
0.171	0.356388	0.246355	39.7803	0.9207	0.369252	0.0127855	-1	-2.18443
0.172	0.361915	0.246467	39.7841	0.920689	0.369213	0.0127836	-1	-2.20837
0.173	0.367482	0.246574	39.788	0.920679	0.369174	0.0127817	-1	-2.23232
0.174	0.373087	0.246675	39.7918	0.920668	0.369135	0.0127799	-1	-2.2563
