time	label	finDynamicsBlock.rate			finDynamicsBlock.&pFin.angle[0]	finDynamicsBlock.&pFin.angle[1]	finDynamicsBlock.&pFin.angle[2]	engineDynamicsBlock.&p.force[0]	engineDynamicsBlock.&p.force[1]	engineDynamicsBlock.&p.force[2]	engineDynamicsBlock.&p.moment[0]	engineDynamicsBlock.&p.moment[1]	engineDynamicsBlock.&p.moment[2]	engineDynamicsBlock.&p.velocity[0]	engineDynamicsBlock.&p.velocity[1]	engineDynamicsBlock.&p.velocity[2]	engineDynamicsBlock.&p.rate[0]	engineDynamicsBlock.&p.rate[1]	engineDynamicsBlock.&p.rate[2]	engineDynamicsBlock.&p.position[0]	engineDynamicsBlock.&p.position[1]	engineDynamicsBlock.&p.position[2]	engineDynamicsBlock.&p.angle[0]	engineDynamicsBlock.&p.angle[1]	engineDynamicsBlock.&p.angle[2]	bodyDynamicsBlock.&p.force[0]	bodyDynamicsBlock.&p.force[1]	bodyDynamicsBlock.&p.force[2]	bodyDynamicsBlock.&p.moment[0]	bodyDynamicsBlock.&p.moment[1]	bodyDynamicsBlock.&p.moment[2]	bodyDynamicsBlock.&p.velocity[0]	bodyDynamicsBlock.&p.velocity[1]	bodyDynamicsBlock.&p.velocity[2]	bodyDynamicsBlock.&p.rate[0]	bodyDynamicsBlock.&p.rate[1]	bodyDynamicsBlock.&p.rate[2]	bodyDynamicsBlock.&p.position[0]	bodyDynamicsBlock.&p.position[1]	bodyDynamicsBlock.&p.position[2]	bodyDynamicsBlock.&p.angle[0]	bodyDynamicsBlock.&p.angle[1]	bodyDynamicsBlock.&p.angle[2]	atmosphereBlock.&pAtmo.airDensity[0]	atmosphereBlock.&pAtmo.speedOfSound[0]	atmosphereBlock.&ph.height[0]	aeroFrameBlock.&p.force[0]	aeroFrameBlock.&p.force[1]	aeroFrameBlock.&p.force[2]	aeroFrameBlock.&p.moment[0]	aeroFrameBlock.&p.moment[1]	aeroFrameBlock.&p.moment[2]	aeroFrameBlock.&p.velocity[0]	aeroFrameBlock.&p.velocity[1]	aeroFrameBlock.&p.velocity[2]	aeroFrameBlock.&p.rate[0]	aeroFrameBlock.&p.rate[1]	aeroFrameBlock.&p.rate[2]	aeroFrameBlock.&p.position[0]	aeroFrameBlock.&p.position[1]	aeroFrameBlock.&p.position[2]	aeroFrameBlock.&p.angle[0]	aeroFrameBlock.&p.angle[1]	aeroFrameBlock.&p.angle[2]	aeroFrameBlock.&ph.height[0]	aeroDynamicsBlock.Cx_alpha	aeroDynamicsBlock.Cz_alpha	aeroDynamicsBlock.Cm_alpha	aeroDynamicsBlock.AoA	aeroDynamicsBlock.SSA	aeroDynamicsBlock.V	aeroDynamicsBlock.Mach	aeroDynamicsBlock.&p.force[0]	aeroDynamicsBlock.&p.force[1]	aeroDynamicsBlock.&p.force[2]	aeroDynamicsBlock.&p.moment[0]	aeroDynamicsBlock.&p.moment[1]	aeroDynamicsBlock.&p.moment[2]	aeroDynamicsBlock.&p.velocity[0]	aeroDynamicsBlock.&p.velocity[1]	aeroDynamicsBlock.&p.velocity[2]	aeroDynamicsBlock.&p.rate[0]	aeroDynamicsBlock.&p.rate[1]	aeroDynamicsBlock.&p.rate[2]	aeroDynamicsBlock.&p.position[0]	aeroDynamicsBlock.&p.position[1]	aeroDynamicsBlock.&p.position[2]	aeroDynamicsBlock.&p.angle[0]	aeroDynamicsBlock.&p.angle[1]	aeroDynamicsBlock.&p.angle[2]	aeroDynamicsBlock.&pAtmosphere.airDensity[0]	aeroDynamicsBlock.&pAtmosphere.speedOfSound[0]	aeroDynamicsBlock.&pFin.angle[0]	aeroDynamicsBlock.&pFin.angle[1]	aeroDynamicsBlock.&pFin.angle[2]	
0	tick	0	-0.523599	0	0	0	0	10000	0	0	0	0	0	984	0	0	0	0	0	0	0	-3048	0	0	0	-2727.23	0	-2001.46	0	0	0	984	0	0	0	0	0	0	0	-3048	0	0	0	1.225	340.787	-3048	0	0	2001.46	0	0	0	984	0	0	0	0	0	0	0	-3048	0	0	0	-3048	-0.3	0	0	0	0	984	2.88743	-7272.77	0	0	0	0	0	984	0	0	0	0	0	0	0	-3048	0	0	0	1.225	340.787	0	0	0	
0.001	tick	0	-0.523599	0	0	0	0	10000	0	0	0	0	0	984.023	0	0.00980582	0	2.33603e-007	0	0.984011	0	-3048	0	7.80644e-011	0	-4628.14	0	-1999.72	0	-0.115042	0	984.023	0	0.00980582	0	2.33603e-007	0	0.984011	0	-3048	0	7.80644e-011	0	0.904775	328.863	-3048	-1.56243e-007	0	2001.46	0	0	0	984.023	0	0.00980582	0	2.33603e-007	0	0.984011	0	-3048	0	7.80644e-011	0	-3048	-0.3	-9.70889e-005	2.8506e-005	9.96503e-006	0	984.023	2.99219	-5371.86	0	-1.73849	0	0.115042	0	984.023	0	0.00980582	0	2.33603e-007	0	0.984011	0	-3048	0	7.80644e-011	0	0.904775	328.863	0	0	0	
0.002	tick	-0.0417539	-0.52362	-0.00204348	0	-2.16334e-005	0	10000	0	0	0	0	0	984.045	0	0.0196051	0	2.37724e-006	0	1.96805	0	-3048	0	8.79629e-010	0	-4627.89	0	-1998.74	0	-1.2618	0	984.045	0	0.0196051	0	2.37724e-006	0	1.96805	0	-3048	0	8.79629e-010	0	0.904775	328.863	-3048	-1.76054e-006	0	2001.46	0	0	0	984.045	0	0.0196051	0	2.37724e-006	0	1.96805	0	-3048	0	8.79629e-010	0	-3048	-0.3	-0.00019411	5.69898e-005	1.9923e-005	0	984.045	2.99226	-5372.11	0	-2.72128	0	1.2618	0	984.045	0	0.0196051	0	2.37724e-006	0	1.96805	0	-3048	0	8.79629e-010	0	0.904775	328.863	0	-2.16334e-005	0	
0.003	tick	-0.109773	-0.523697	-0.00361897	0	-9.87123e-005	0	10000	0	0	0	0	0	984.068	0	0.0294099	0	1.40347e-005	0	2.9521	0	-3048	0	7.71403e-009	0	-4627.64	0	-1999.69	0	-5.02078	0	984.068	0	0.0294099	0	1.40347e-005	0	2.9521	0	-3048	0	7.71403e-009	0	0.904775	328.863	-3048	-1.54393e-005	0	2001.46	0	0	0	984.068	0	0.0294099	0	1.40347e-005	0	2.9521	0	-3048	0	7.71403e-009	0	-3048	-0.3	-0.000291184	8.54862e-005	2.9886e-005	0	984.068	2.99233	-5372.36	0	-1.77084	0	5.02078	0	984.068	0	0.0294099	0	1.40347e-005	0	2.9521	0	-3048	0	7.71403e-009	0	0.904775	328.863	0	-9.87123e-005	0	
0.004	tick	-0.200748	-0.523855	-0.00542387	0	-0.000255859	0	10000	0	0	0	0	0	984.091	0	0.0392471	0	4.80159e-005	0	3.93618	0	-3048	0	3.6214e-008	0	-4627.4	0	-2003.43	0	-12.4923	0	984.091	0	0.0392471	0	4.80159e-005	0	3.93618	0	-3048	0	3.6214e-008	0	0.904775	328.863	-3048	-7.2481e-005	0	2001.46	0	0	0	984.091	0	0.0392471	0	4.80159e-005	0	3.93618	0	-3048	0	3.6214e-008	0	-3048	-0.3	-0.000388575	0.000114074	3.98816e-005	0	984.091	2.9924	-5372.6	0	1.96731	0	12.4923	0	984.091	0	0.0392471	0	4.80159e-005	0	3.93618	0	-3048	0	3.6214e-008	0	0.904775	328.863	0	-0.000255859	0	
0.005	tick	-0.308396	-0.524112	-0.00621619	0	-0.000512795	0	10000	0	0	0	0	0	984.113	0	0.0491621	0	0.000121157	0	4.92028	0	-3048	0	1.16737e-007	0	-4627.15	0	-2010.64	0	-24.5118	0	984.113	0	0.0491621	0	0.000121157	0	4.92028	0	-3048	0	1.16737e-007	0	0.904775	328.863	-3048	-0.000233644	0	2001.46	0	0	0	984.113	0	0.0491621	0	0.000121157	0	4.92028	0	-3048	0	1.16737e-007	0	-3048	-0.3	-0.000486734	0.000142883	4.99558e-005	0	984.113	2.99247	-5372.85	0	9.17358	0	24.5118	0	984.113	0	0.0491621	0	0.000121157	0	4.92028	0	-3048	0	1.16737e-007	0	0.904775	328.863	0	-0.000512795	0	
0.006	tick	-0.426021	-0.524482	-0.00966913	0	-0.000883363	0	10000	0	0	0	0	0	984.136	0	0.0592211	0	0.000253018	0	5.90441	0	-3048	0	2.98014e-007	0	-4626.9	0	-2021.78	0	-41.6122	0	984.136	0	0.0592211	0	0.000253018	0	5.90441	0	-3048	0	2.98014e-007	0	0.904775	328.863	-3048	-0.000596464	0	2001.46	0	0	0	984.136	0	0.0592211	0	0.000253018	0	5.90441	0	-3048	0	2.98014e-007	0	-3048	-0.3	-0.000586317	0.000172108	6.01758e-005	0	984.136	2.99254	-5373.1	0	20.3197	0	41.6122	0	984.136	0	0.0592211	0	0.000253018	0	5.90441	0	-3048	0	2.98014e-007	0	0.904775	328.863	0	-0.000883363	0	
0.007	tick	-0.55139	-0.524974	-0.00999502	0	-0.0013752	0	10000	0	0	0	0	0	984.159	0	0.0695123	0	0.000464637	0	6.88856	0	-3048	0	6.49284e-007	0	-4626.65	0	-2037.12	0	-64.0162	0	984.159	0	0.0695123	0	0.000464637	0	6.88856	0	-3048	0	6.49284e-007	0	0.904775	328.863	-3048	-0.00129952	0	2001.46	0	0	0	984.159	0	0.0695123	0	0.000464637	0	6.88856	0	-3048	0	6.49284e-007	0	-3048	-0.3	-0.000688195	0.000202002	7.06311e-005	0	984.159	2.99261	-5373.35	0	35.6571	0	64.0162	0	984.159	0	0.0695123	0	0.000464637	0	6.88856	0	-3048	0	6.49284e-007	0	0.904775	328.863	0	-0.0013752	0	
0.008	tick	-0.67862	-0.525593	-0.0116008	0	-0.00199378	0	10000	0	0	0	0	0	984.181	0	0.0801457	0	0.000777765	0	7.87273	0	-3048	0	1.26109e-006	0	-4626.4	0	-2056.82	0	-91.8367	0	984.181	0	0.0801457	0	0.000777765	0	7.87273	0	-3048	0	1.26109e-006	0	0.904775	328.863	-3048	-0.00252403	0	2001.46	0	0	0	984.181	0	0.0801457	0	0.000777765	0	7.87273	0	-3048	0	1.26109e-006	0	-3048	-0.3	-0.00079346	0.000232884	8.14338e-005	0	984.181	2.99268	-5373.6	0	55.3575	0	91.8367	0	984.181	0	0.0801457	0	0.000777765	0	7.87273	0	-3048	0	1.26109e-006	0	0.904775	328.863	0	-0.00199378	0	
0.009	tick	-0.804261	-0.526338	-0.0126047	0	-0.00273914	0	10000	0	0	0	0	0	984.204	0	0.0912533	0	0.00121405	0	8.85692	0	-3048	0	2.24582e-006	0	-4626.15	0	-2080.86	0	-124.926	0	984.204	0	0.0912533	0	0.00121405	0	8.85692	0	-3048	0	2.24582e-006	0	0.904775	328.863	-3048	-0.00449493	0	2001.46	0	0	0	984.204	0	0.0912533	0	0.00121405	0	8.85692	0	-3048	0	2.24582e-006	0	-3048	-0.3	-0.000903419	0.000265137	9.27179e-005	0	984.204	2.99274	-5373.84	0	79.3999	0	124.926	0	984.204	0	0.0912533	0	0.00121405	0	8.85692	0	-3048	0	2.24582e-006	0	0.904775	328.863	0	-0.00273914	0	
