Time	Fin	pitch rate	Az Demand	Az
0	-0.000704215	0	-1	0
0.005	-0.00170933	0	-1	0
0.01	-0.00286598	4.13733e-013	-1	9.44718e-011
0.015	-0.00422335	5.28971e-011	-1	1.26491e-009
0.02	-0.00584382	4.2746e-010	-1	7.64969e-009
0.025	-0.00773105	1.82453e-009	-1	1.86922e-008
0.03	-0.00985216	5.57349e-009	-1	4.36397e-008
0.035	-0.0121747	1.37821e-008	-1	8.75902e-008
0.04	-0.0146799	2.95381e-008	-1	1.64279e-007
0.045	-0.0173575	5.69811e-008	-1	2.6793e-007
0.05	-0.020198	1.01622e-007	-1	4.23583e-007
0.055	-0.0231896	1.70146e-007	-1	6.41702e-007
0.06	-0.0263199	2.72403e-007	-1	8.10743e-007
0.065	-0.0295768	4.09207e-007	-1	1.2237e-006
0.07	-0.0329493	5.97997e-007	-1	1.6812e-006
0.075	-0.0364273	8.5384e-007	-1	2.25615e-006
0.08	-0.0400011	1.1929e-006	-1	2.77248e-006
0.085	-0.0436615	1.6177e-006	-1	3.64746e-006
0.09	-0.0473998	2.1563e-006	-1	4.61628e-006
0.095	-0.0512076	2.83213e-006	-1	5.75019e-006
0.1	-0.0550772	3.66712e-006	-1	7.05037e-006
0.105	-0.0590013	4.6832e-006	-1	8.52413e-006
0.11	-0.0629731	5.90353e-006	-1	1.01818e-005
0.115	-0.0669863	7.35323e-006	-1	1.20391e-005
0.12	-0.071035	9.05956e-006	-1	1.41197e-005
0.125	-0.0751137	1.10519e-005	-1	1.6423e-005
0.13	-0.0792174	1.33615e-005	-1	1.8973e-005
0.135	-0.0833415	1.60214e-005	-1	2.17816e-005
0.14	-0.0874815	1.90661e-005	-1	2.48609e-005
0.145	-0.0916338	2.25317e-005	-1	2.82356e-005
0.15	-0.0957946	2.64558e-005	-1	3.18843e-005
0.155	-0.0999609	3.08776e-005	-1	3.58387e-005
0.16	-0.10413	3.58374e-005	-1	4.01089e-005
0.165	-0.108298	4.13772e-005	-1	4.47054e-005
0.17	-0.112464	4.75403e-005	-1	4.96564e-005
0.175	-0.116626	5.43715e-005	-1	5.49291e-005
0.18	-0.120781	6.19168e-005	-1	6.05613e-005
0.185	-0.124928	7.02237e-005	-1	6.65618e-005
0.19	-0.129065	7.9341e-005	-1	7.29399e-005
0.195	-0.133192	8.93186e-005	-1	7.97235e-005
0.2	-0.137307	0.000100208	-1	8.68763e-005
0.205	-0.141409	0.000112062	-1	9.44374e-005
0.21	-0.145498	0.000124933	-1	0.000102415
0.215	-0.149574	0.000138878	-1	0.000110837
0.22	-0.153634	0.000153953	-1	0.000119662
0.225	-0.157681	0.000170214	-1	0.000128932
0.23	-0.161712	0.000187721	-1	0.000138654
0.235	-0.165728	0.000206533	-1	0.000148857
0.24	-0.169728	0.000226712	-1	0.000159497
0.245	-0.173714	0.00024832	-1	0.000170616
0.25	-0.177684	0.000271419	-1	0.000182248
0.255	-0.181639	0.000296076	-1	0.000194335
0.26	-0.185579	0.000322355	-1	0.000206929
0.265	-0.189505	0.000350323	-1	0.000220064
0.27	-0.193416	0.000380048	-1	0.000233674
0.275	-0.197313	0.0004116	-1	0.000247817
0.28	-0.201196	0.000445048	-1	0.000262527
0.285	-0.205065	0.000480465	-1	0.000277735
0.29	-0.20892	0.000517923	-1	0.000293499
0.295	-0.212763	0.000557496	-1	0.000309855
0.3	-0.216593	0.000599258	-1	0.000326732
0.305	-0.22041	0.000643286	-1	0.00034419
0.31	-0.224215	0.000689658	-1	0.000362262
0.315	-0.228008	0.00073845	-1	0.000380877
0.32	-0.23179	0.000789744	-1	0.000400144
0.325	-0.23556	0.00084362	-1	0.000419945
0.33	-0.239319	0.000900159	-1	0.00044037
0.335	-0.243068	0.000959444	-1	0.00046146
0.34	-0.246805	0.00102156	-1	0.000483114
0.345	-0.250533	0.00108659	-1	0.00050541
0.35	-0.254249	0.00115463	-1	0.000528389
0.355	-0.257956	0.00122575	-1	0.000551956
0.36	-0.261653	0.00130005	-1	0.000576243
0.365	-0.26534	0.00137762	-1	0.000601103
0.37	-0.269017	0.00145855	-1	0.000626643
0.375	-0.272685	0.00154293	-1	0.000652911
0.38	-0.276343	0.00163086	-1	0.00067978
0.385	-0.279991	0.00172242	-1	0.000707417
0.39	-0.28363	0.00181771	-1	0.000735635
0.395	-0.28726	0.00191683	-1	0.000764564
0.4	-0.290879	0.00201988	-1	0.000794258
0.405	-0.294489	0.00212695	-1	0.000824565
0.41	-0.298089	0.00223815	-1	0.000855678
0.415	-0.30168	0.00235356	-1	0.000887376
0.42	-0.30526	0.00247331	-1	0.00091981
0.425	-0.30883	0.00259747	-1	0.000953036
0.43	-0.31239	0.00272617	-1	0.000986882
0.435	-0.315939	0.00285949	-1	0.00102156
0.44	-0.319478	0.00299756	-1	0.00105682
0.445	-0.323006	0.00314046	-1	0.00109284
0.45	-0.326523	0.00328831	-1	0.00112966
0.455	-0.330029	0.00344122	-1	0.00116711
0.46	-0.333523	0.00359929	-1	0.0012054
0.465	-0.337005	0.00376263	-1	0.00124426
0.47	-0.340474	0.00393135	-1	0.00128389
0.475	-0.343932	0.00410556	-1	0.00132433
0.48	-0.347376	0.00428536	-1	0.00136537
0.485	-0.350808	0.00447088	-1	0.00140727
0.49	-0.354226	0.00466222	-1	0.00144972
0.495	-0.35763	0.0048595	-1	0.00149307
0.5	-0.36102	0.00506282	-1	0.00153692
0.505	-0.364395	0.0052723	-1	0.00158152
0.51	-0.367756	0.00548805	-1	0.00162694
0.515	-0.371101	0.00571019	-1	0.00167292
0.52	-0.37443	0.00593883	-1	0.00171974
0.525	-0.377743	0.00617408	-1	0.00176705
0.53	-0.381039	0.00641606	-1	0.00181525
0.535	-0.384318	0.00666488	-1	0.00186388
0.54	-0.38758	0.00692066	-1	0.00191341
0.545	-0.390824	0.00718352	-1	0.00196332
0.55	-0.394049	0.00745356	-1	0.00201393
0.555	-0.397255	0.00773091	-1	0.00206531
0.56	-0.400442	0.00801567	-1	0.00211714
0.565	-0.403609	0.00830797	-1	0.00216974
0.57	-0.406756	0.00860791	-1	0.00222274
0.575	-0.409882	0.00891562	-1	0.00227651
0.58	-0.412986	0.0092312	-1	0.00233062
0.585	-0.416068	0.00955478	-1	0.00238551
0.59	-0.419128	0.00988646	-1	0.00244067
0.595	-0.422166	0.0102264	-1	0.00249659
0.6	-0.425179	0.0105746	-1	0.00255273
0.605	-0.428169	0.0109312	-1	0.00260961
0.61	-0.431134	0.0112965	-1	0.00266666
0.615	-0.434074	0.0116704	-1	0.00272441
0.62	-0.436988	0.012053	-1	0.00278229
0.625	-0.439877	0.0124446	-1	0.00284083
0.63	-0.442738	0.0128451	-1	0.00289945
